('1', '14', '7'),
('66', '30', '9'),
('66', '15', '2'),
('67', '2', '6'),
('67', '5', '1'),
('68', '13', '1'),
('68', '22', '6'),
('68', '7', '9'),
('68', '14', '4'),
('68', '16', '6'),
('68', '28', '3'),
('68', '6', '9'),
('68', '30', '9'),
('69', '21', '8'),
('69', '23', '10'),
('69', '20', '4'),
('70', '27', '8'),
('70', '11', '10'),
('70', '18', '4'),
('70', '24', '2'),
('70', '7', '9'),
('70', '1', '7'),
('70', '2', '5'),
('70', '30', '6'),
('70', '5', '8'),
('70', '8', '4'),
('71', '13', '2'),
('71', '15', '3'),
('71', '22', '7'),
('71', '11', '8'),
('71', '29', '9'),
('71', '3', '4'),
('71', '5', '6'),
('71', '8', '1'),
('72', '19', '1'),
('72', '30', '3'),
('72', '28', '9'),
('72', '26', '8'),
('72', '14', '5'),
('72', '18', '7'),
('72', '7', '9'),
('73', '7', '7'),
('74', '25', '4'),
('75', '12', '7'),
('75', '5', '7'),
('75', '15', '9'),
('75', '9', '6'),
('75', '4', '4'),
('75', '19', '10'),
('75', '28', '5'),
('75', '27', '2'),
('75', '8', '1'),
('76', '3', '2'),
('76', '17', '7'),
('76', '16', '10'),
('76', '14', '3'),
('76', '11', '3'),
('76', '13', '1'),
('76', '24', '2'),
('76', '1', '7'),
('77', '4', '9'),
('77', '12', '9'),
('77', '10', '1'),
('77', '29', '6'),
('77', '20', '9'),
('77', '21', '9'),
('77', '7', '1'),
('78', '11', '9'),
('78', '5', '7'),
('78', '12', '2'),
('78', '4', '5'),
('78', '20', '10'),
('79', '16', '4'),
('79', '2', '6'),
('79', '17', '2'),
('80', '13', '8'),
('80', '7', '6'),
('80', '20', '3'),
('80', '23', '5'),
('81', '7', '3'),
('81', '15', '5'),
('81', '27', '9'),
('81', '11', '1'),
('82', '2', '3'),
('82', '3', '5'),
('82', '20', '4'),
('82', '1', '9'),
('82', '10', '9'),
('82', '4', '6'),
('83', '27', '4'),
('83', '14', '7'),
('83', '4', '5'),
('83', '3', '1'),
('83', '19', '1'),
('83', '15', '1'),
('83', '11', '5'),
('83', '6', '2'),
('83', '10', '6'),
('84', '26', '4'),
('85', '20', '5'),
('85', '2', '10'),
('85', '26', '4'),
('85', '13', '5'),
('85', '14', '6'),
('86', '14', '3'),
('86', '12', '9'),
('87', '8', '2'),
('88', '1', '4'),
('88', '29', '8'),
('88', '25', '5'),
('88', '12', '5'),
('88', '17', '7'),
('88', '14', '7'),
('88', '4', '8'),
('88', '26', '1'),
('89', '8', '3'),
('89', '5', '3'),
('89', '26', '9'),
('89', '10', '5'),
('90', '8', '3'),
('90', '25', '10'),
('90', '18', '3'),
('91', '26', '9'),
('91', '29', '7'),
('91', '28', '4'),
('91', '7', '7'),
('91', '2', '9'),
('91', '14', '9'),
('91', '6', '8'),
('91', '13', '2'),
('92', '29', '2'),
('93', '22', '3'),
('93', '9', '10'),
('93', '14', '4'),
('93', '12', '4'),
('93', '30', '1'),
('93', '13', '1'),
('93', '29', '9'),
('93', '3', '2'),
('94', '21', '6'),
('94', '29', '5'),
('94', '17', '9'),
('94', '10', '5'),
('94', '1', '3'),
('94', '20', '1'),
('94', '5', '8'),
('94', '12', '4'),
('94', '22', '10'),
('94', '23', '7'),
('95', '16', '6'),
('95', '27', '6'),
('95', '10', '10'),
('96', '10', '5'),
('96', '22', '9'),
('96', '27', '3'),
('96', '25', '9'),
('96', '19', '3'),
('96', '8', '10'),
('96', '7', '9'),
('96', '14', '9'),
('96', '24', '9'),
('97', '14', '9'),
('97', '10', '1'),
('97', '15', '4'),
('97', '30', '5'),
('97', '21', '8'),
('98', '28', '1'),
('98', '9', '4'),
('99', '20', '1'),
('99', '26', '1'),
('99', '9', '10'),
('99', '1', '3'),
('99', '22', '5'),
('99', '29', '4'),
('100', '3', '1'),
('100', '19', '3'),
('100', '14', '1'),
('100', '26', '10'),
('100', '4', '9'),
('100', '23', '5'),
