('1', '1', '12'),
('4', '14', '0'),
('4', '15', '74'),
('4', '16', '50'),
('4', '17', '16'),
('4', '18', '61'),
('4', '19', '6'),
('4', '20', '66'),
('4', '21', '38'),
('4', '22', '42'),
('4', '23', '13'),
('4', '24', '0'),
('4', '25', '60'),
('4', '26', '43'),
('4', '27', '14'),
('4', '28', '54'),
('4', '29', '0'),
('4', '30', '87'),
('5', '1', '21'),
('5', '2', '48'),
('5', '3', '81'),
('5', '4', '0'),
('5', '5', '25'),
('5', '6', '7'),
('5', '7', '12'),
('5', '8', '66'),
('5', '9', '62'),
('5', '10', '91'),
('5', '11', '54'),
('5', '12', '0'),
('5', '13', '33'),
('5', '14', '21'),
('5', '15', '45'),
('5', '16', '89'),
('5', '17', '0'),
('5', '18', '96'),
('5', '19', '15'),
('5', '20', '32'),
('5', '21', '5'),
('5', '22', '27'),
('5', '23', '13'),
('5', '24', '48'),
('5', '25', '19'),
('5', '26', '76'),
('5', '27', '18'),
('5', '28', '81'),
('5', '29', '66'),
('5', '30', '41'),
('6', '1', '63'),
('6', '2', '25'),
('6', '3', '28'),
('6', '4', '0'),
('6', '5', '95'),
('6', '6', '41'),
('6', '7', '0'),
('6', '8', '32'),
('6', '9', '19'),
('6', '10', '74'),
('6', '11', '90'),
('6', '12', '8'),
('6', '13', '66'),
('6', '14', '5'),
('6', '15', '0'),
('6', '16', '38'),
('6', '17', '0'),
('6', '18', '42'),
('6', '19', '19'),
('6', '20', '58'),
('6', '21', '64'),
('6', '22', '67'),
('6', '23', '73'),
('6', '24', '0'),
('6', '25', '66'),
('6', '26', '9'),
('6', '27', '96'),
('6', '28', '68'),
('6', '29', '53'),
('6', '30', '61'),
('7', '1', '49'),
('7', '2', '29'),
('7', '3', '2'),
('7', '4', '0'),
('7', '5', '38'),
('7', '6', '32'),
('7', '7', '63'),
('7', '8', '38'),
('7', '9', '49'),
('7', '10', '7'),
('7', '11', '16'),
('7', '12', '93'),
('7', '13', '7'),
('7', '14', '61'),
('7', '15', '62'),
('7', '16', '77'),
('7', '17', '86'),
('7', '18', '45'),
('7', '19', '78'),
('7', '20', '58'),
('7', '21', '0'),
('7', '22', '19'),
('7', '23', '0'),
('7', '24', '16'),
('7', '25', '13'),
('7', '26', '83'),
('7', '27', '49'),
('7', '28', '99'),
('7', '29', '7'),
('7', '30', '59'),
('8', '1', '43'),
('8', '2', '87'),
('8', '3', '37'),
('8', '4', '16'),
('8', '5', '49'),
('8', '6', '95'),
('8', '7', '87'),
('8', '8', '15'),
('8', '9', '100'),
('8', '10', '4'),
('8', '11', '56'),
('8', '12', '24'),
('8', '13', '80'),
('8', '14', '0'),
('8', '15', '0'),
('8', '16', '62'),
('8', '17', '3'),
('8', '18', '85'),
('8', '19', '27'),
('8', '20', '99'),
('8', '21', '80'),
('8', '22', '89'),
('8', '23', '64'),
('8', '24', '14'),
('8', '25', '72'),
('8', '26', '10'),
('8', '27', '53'),
('8', '28', '0'),
('8', '29', '19'),
('8', '30', '3'),
('9', '1', '55'),
('9', '2', '3'),
('9', '3', '41'),
('9', '4', '10'),
('9', '5', '15'),
('9', '6', '3'),
('9', '7', '22'),
('9', '8', '0'),
('9', '9', '46'),
('9', '10', '0'),
('9', '11', '26'),
('9', '12', '0'),
('9', '13', '93'),
('9', '14', '15'),
('9', '15', '37'),
('9', '16', '3'),
('9', '17', '29'),
('9', '18', '23'),
('9', '19', '61'),
('9', '20', '33'),
('9', '21', '26'),
('9', '22', '60'),
('9', '23', '37'),
('9', '24', '70'),
('9', '25', '23'),
('9', '26', '10'),
('9', '27', '74'),
('9', '28', '48'),
('9', '29', '16'),
('9', '30', '40'),
('10', '1', '30'),
('10', '2', '37'),
('10', '3', '84'),
('10', '4', '0'),
('10', '5', '2'),
('10', '6', '89'),
('10', '7', '0'),
('10', '8', '70'),
('10', '9', '18'),
('10', '10', '38'),
('10', '11', '10'),
('10', '12', '80'),
('10', '13', '67'),
('10', '14', '0'),
('10', '15', '53'),
('10', '16', '41'),
('10', '17', '47'),
('10', '18', '60'),
('10', '19', '0'),
('10', '20', '13'),
('10', '21', '71'),
('10', '22', '19'),
('10', '23', '57'),
('10', '24', '23'),
('10', '25', '55'),
('10', '26', '58'),
('10', '27', '66'),
('10', '28', '59'),
('10', '29', '11'),
('10', '30', '26'),
